Text,Count,Weight
St,51,0.003037703
Park,50,0.00297814
Mt,35,0.002084698
Victoria,25,0.00148907
Pine,24,0.001429507
Railway,24,0.001429507
Boundary,23,0.001369945
Creek,22,0.001310382
Gordon,19,0.001131693
Little,19,0.001131693
Thomas,19,0.001131693
Tree,18,0.001072131
Glen,18,0.001072131
Norman,18,0.001072131
Stanley,17,0.001012568
Prospect,17,0.001012568
The,17,0.001012568
Wellington,17,0.001012568
Cambridge,16,0.000953005
View,16,0.000953005
Station,16,0.000953005
Grove,16,0.000953005
Old,16,0.000953005
Upper,16,0.000953005
Hill,15,0.000893442
Hamilton,15,0.000893442
Oxford,15,0.000893442
Royal,15,0.000893442
Bridge,14,0.000833879
Cleveland,14,0.000833879
Logan,14,0.000833879
School,14,0.000833879
Wattle,14,0.000833879
Gum,13,0.000774317
Campbell,13,0.000774317
Cedar,13,0.000774317
Douglas,13,0.000774317
Kedron,13,0.000774317
Hunter,13,0.000774317
Main,13,0.000774317
Walker,13,0.000774317
Musgrave,13,0.000774317
Smith,12,0.000714754
Acacia,12,0.000714754
Alexandra,12,0.000714754
Annie,12,0.000714754
Oak,12,0.000714754
Gregory,12,0.000714754
Jacaranda,12,0.000714754
Kent,12,0.000714754
Moggill,12,0.000714754
Nelson,12,0.000714754
Oxley,12,0.000714754
Scott,12,0.000714754
Taylor,12,0.000714754
Wynnum,12,0.000714754
Agnes,11,0.000655191
Beaudesert,11,0.000655191
Blackwood,11,0.000655191
Brighton,11,0.000655191
Brook,11,0.000655191
Central,11,0.000655191
David,11,0.000655191
Duke,11,0.000655191
Gladstone,11,0.000655191
Gravatt,11,0.000655191
North,11,0.000655191
Palmer,11,0.000655191
Princess,11,0.000655191
Robinson,11,0.000655191
York,11,0.000655191
Albert,10,0.000595628
Watson,10,0.000595628
Bowen,10,0.000595628
Ridge,10,0.000595628
Bunya,10,0.000595628
Clifton,10,0.000595628
Cornwall,10,0.000595628
Eagle,10,0.000595628
East,10,0.000595628
Evergreen,10,0.000595628
Hall,10,0.000595628
High,10,0.000595628
Ipswich,10,0.000595628
Kate,10,0.000595628
Lower,10,0.000595628
New,10,0.000595628
Queens,10,0.000595628
Richmond,10,0.000595628
Windsor,10,0.000595628
Andrew,9,0.000536065
Barton,9,0.000536065
Vista,9,0.000536065
Birdwood,9,0.000536065
Brisbane,9,0.000536065
Chester,9,0.000536065
Ross,9,0.000536065
Crown,9,0.000536065
Dawson,9,0.000536065
Edith,9,0.000536065
Fifth,9,0.000536065
Flinders,9,0.000536065
Florence,9,0.000536065
Golden,9,0.000536065
Grevillea,9,0.000536065
Gympie,9,0.000536065
Haig,9,0.000536065
Herbert,9,0.000536065
Howard,9,0.000536065
Kensington,9,0.000536065
King,9,0.000536065
Mitchell,9,0.000536065
Moore,9,0.000536065
Noble,9,0.000536065
Palm,9,0.000536065
Primrose,9,0.000536065
Samuel,9,0.000536065
William,9,0.000536065
South,9,0.000536065
Stafford,9,0.000536065
Turner,9,0.000536065
Violet,9,0.000536065
Waratah,9,0.000536065
Archer,8,0.000476502
Banksia,8,0.000476502
Lake,8,0.000476502
Blunder,8,0.000476502
Burke,8,0.000476502
Laurel,8,0.000476502
Crescent,8,0.000476502
West,8,0.000476502
Emma,8,0.000476502
Ernest,8,0.000476502
Esplanade,8,0.000476502
Fig,8,0.000476502
Fisher,8,0.000476502
Franklin,8,0.000476502
Fraser,8,0.000476502
George,8,0.000476502
Grace,8,0.000476502
Green,8,0.000476502
Griffith,8,0.000476502
Hawthorne,8,0.000476502
Henry,8,0.000476502
Jackson,8,0.000476502
James,8,0.000476502
Junction,8,0.000476502
Kennedy,8,0.000476502
Kingfisher,8,0.000476502
Kitchener,8,0.000476502
Manchester,8,0.000476502
Long,8,0.000476502
Lytton,8,0.000476502
Marshall,8,0.000476502
Moreton,8,0.000476502
Nudgee,8,0.000476502
Nursery,8,0.000476502
Patrick,8,0.000476502
Preston,8,0.000476502
Prince,8,0.000476502
Quarry,8,0.000476502
Red,8,0.000476502
Russell,8,0.000476502
Sandgate,8,0.000476502
Shaw,8,0.000476502
Sixth,8,0.000476502
Somerset,8,0.000476502
Stewart,8,0.000476502
Terrace,8,0.000476502
White,8,0.000476502
Wickham,8,0.000476502
Johnson,7,0.00041694
Arthur,7,0.00041694
Banks,7,0.00041694
Bellevue,7,0.00041694
Bishop,7,0.00041694
Broadwater,7,0.00041694
Brookfield,7,0.00041694
Camp,7,0.00041694
Carrington,7,0.00041694
Wood,7,0.00041694
Chelsea,7,0.00041694
Church,7,0.00041694
Clarence,7,0.00041694
Clyde,7,0.00041694
Coot,7,0.00041694
Crosby,7,0.00041694
Cross,7,0.00041694
Curlew,7,0.00041694
Daisy,7,0.00041694
Derby,7,0.00041694
Dickson,7,0.00041694
Young,7,0.00041694
Edward,7,0.00041694
Elizabeth,7,0.00041694
Elliott,7,0.00041694
Emerald,7,0.00041694
Evans,7,0.00041694
Ferguson,7,0.00041694
Forest,7,0.00041694
Gloucester,7,0.00041694
Graham,7,0.00041694
Harris,7,0.00041694
Henderson,7,0.00041694
Holland,7,0.00041694
Ironbark,7,0.00041694
John,7,0.00041694
Jones,7,0.00041694
Jubilee,7,0.00041694
Kite,7,0.00041694
Lang,7,0.00041694
Lewis,7,0.00041694
London,7,0.00041694
River,7,0.00041694
Macquarie,7,0.00041694
Margaret,7,0.00041694
Melaleuca,7,0.00041694
Miles,7,0.00041694
Milton,7,0.00041694
Morgan,7,0.00041694
Mountain,7,0.00041694
Outlook,7,0.00041694
Capalaba,7,0.00041694
Murray,7,0.00041694
Myrtle,7,0.00041694
Olive,7,0.00041694
Newman,7,0.00041694
Orchard,7,0.00041694
Paradise,7,0.00041694
Parkview,7,0.00041694
Wharf,7,0.00041694
Regency,7,0.00041694
Rode,7,0.00041694
Samford,7,0.00041694
Sanctuary,7,0.00041694
Van,7,0.00041694
Vulture,7,0.00041694
Webster,7,0.00041694
Woodland,7,0.00041694
Aberdeen,6,0.000357377
Ada,6,0.000357377
Allamanda,6,0.000357377
Allen,6,0.000357377
Amelia,6,0.000357377
Argyle,6,0.000357377
Balmoral,6,0.000357377
Bayview,6,0.000357377
Beams,6,0.000357377
Beatrice,6,0.000357377
Beenleigh,6,0.000357377
Boomerang,6,0.000357377
Bracken,6,0.000357377
Cairns,6,0.000357377
Cameron,6,0.000357377
Casuarina,6,0.000357377
Cavendish,6,0.000357377
