Text,Count,Weight
Mews,28,0.00973913
St,26,0.009043478
Priv,26,0.009043478
Bridge,23,0.008
Railway,22,0.007652174
Private,21,0.007304348
Esplanade,16,0.005565217
Victoria,15,0.005217391
Parade,13,0.004521739
Court,11,0.003826087
Freeway,11,0.003826087
Ashworth,10,0.003478261
Promenade,10,0.003478261
Arcade,9,0.003130435
West,9,0.003130435
Park,9,0.003130435
Square,8,0.002782609
Parkreet,8,0.002782609
Wellington,8,0.002782609
Wharf,7,0.002434783
Lincoln,7,0.002434783
River,7,0.002434783
Princes,7,0.002434783
Queens,7,0.002434783
Bourkereet,6,0.002086957
Dock,6,0.002086957
Dryburghreet,6,0.002086957
Dynon,6,0.002086957
Melbourne,6,0.002086957
South,6,0.002086957
Southern,6,0.002086957
Kilda,6,0.002086957
Albert,5,0.00173913
Alfred,5,0.00173913
Blanche,5,0.00173913
Canterbury,5,0.00173913
Boulevard,5,0.00173913
George,5,0.00173913
Kings,5,0.00173913
La,5,0.00173913
Newquay,5,0.00173913
Spring,5,0.00173913
Vincent,5,0.00173913
Toorak,5,0.00173913
Alexandra,4,0.001391304
Argyle,4,0.001391304
Housene,4,0.001391304
Bank,4,0.001391304
Barkly,4,0.001391304
Block,4,0.001391304
Capelreet,4,0.001391304
Churchreet,4,0.001391304
Cl1170,4,0.001391304
Cl1561,4,0.001391304
Collinsreet,4,0.001391304
Station,4,0.001391304
Danks,4,0.001391304
Docklands,4,0.001391304
Erskine,4,0.001391304
Finlay,4,0.001391304
Flemington,4,0.001391304
Grey,4,0.001391304
Howardreet,4,0.001391304
Jageursne,4,0.001391304
William,4,0.001391304
Leicester,4,0.001391304
Linlithgowenue,4,0.001391304
Macarthur,4,0.001391304
Tramway,4,0.001391304
Monash,4,0.001391304
Musgrove,4,0.001391304
Napier,4,0.001391304
North,4,0.001391304
Pasleyreet,4,0.001391304
Pollington,4,0.001391304
Royal,4,0.001391304
Spencerreet,4,0.001391304
Westgate,4,0.001391304
York,4,0.001391304
Sq,3,0.001043478
Public,3,0.001043478
Anderson,3,0.001043478
Andersonreet,3,0.001043478
Ardenne,3,0.001043478
Ardenreet,3,0.001043478
Vale,3,0.001043478
Dr,3,0.001043478
Hotelne,3,0.001043478
Bell,3,0.001043478
Boundary,3,0.001043478
Bridport,3,0.001043478
Canningreet,3,0.001043478
Cardigan,3,0.001043478
Chetwyndreet,3,0.001043478
Church,3,0.001043478
Cl0093,3,0.001043478
Cl0255,3,0.001043478
Cl0405,3,0.001043478
Cl0534,3,0.001043478
Cl1053,3,0.001043478
Cl120,3,0.001043478
Cl121,3,0.001043478
Cl1413,3,0.001043478
Cl1420,3,0.001043478
Cl1448,3,0.001043478
Cl1714,3,0.001043478
Cl185,3,0.001043478
Cl186,3,0.001043478
Cl194,3,0.001043478
Coode,3,0.001043478
Curzonreet,3,0.001043478
De,3,0.001043478
Domain,3,0.001043478
Donovansne,3,0.001043478
Elginreet,3,0.001043478
Elizabethreet,3,0.001043478
Elm,3,0.001043478
Errolreet,3,0.001043478
And,3,0.001043478
Flindersne,3,0.001043478
Ramp,3,0.001043478
Georgereet,3,0.001043478
Goldsbrough,3,0.001043478
Gordon,3,0.001043478
Gough,3,0.001043478
Grattanreet,3,0.001043478
Harbour,3,0.001043478
Haydonne,3,0.001043478
Jolimont,3,0.001043478
Kerferd,3,0.001043478
Kingreet,3,0.001043478
Levesonreet,3,0.001043478
Lothianreet,3,0.001043478
Palmerstonreet,3,0.001043478
Queenreet,3,0.001043478
Queensberryreet,3,0.001043478
Williamreet,3,0.001043478
Lorimerreet,3,0.001043478
Macfarlan,3,0.001043478
Maddenne,3,0.001043478
Malvina,3,0.001043478
Manchesterne,3,0.001043478
Markreet,3,0.001043478
Matthews,3,0.001043478
Mcallister,3,0.001043478
Millerreet,3,0.001043478
Mills,3,0.001043478
Morrison,3,0.001043478
Neptune,3,0.001043478
Neville,3,0.001043478
Nicholson,3,0.001043478
Pelhamreet,3,0.001043478
Pl5257,3,0.001043478
Light,3,0.001043478
Post,3,0.001043478
Punt,3,0.001043478
Richardson,3,0.001043478
Saint,3,0.001043478
Mangosne,3,0.001043478
Shielsne,3,0.001043478
Silk,3,0.001043478
Simsreet,3,0.001043478
Southbank,3,0.001043478
Tunnel,3,0.001043478
Southgateenue,3,0.001043478
Leonards,3,0.001043478
Swan,3,0.001043478
Todd,3,0.001043478
Union,3,0.001043478
Upfield,3,0.001043478
Valereet,3,0.001043478
Webb,3,0.001043478
Wells,3,0.001043478
Coburg,3,0.001043478
White,3,0.001043478
Yarra,3,0.001043478
Younghusbandne,3,0.001043478
Zeplin,3,0.001043478
Acdc,2,0.000695652
Bankne,2,0.000695652
Albion,2,0.000695652
Alexandraenue,2,0.000695652
Alfredne,2,0.000695652
Anthonyreet,2,0.000695652
Aquitania,2,0.000695652
East,2,0.000695652
Arthur,2,0.000695652
Ascot,2,0.000695652
Austin,2,0.000695652
Avisne,2,0.000695652
Bailliereet,2,0.000695652
Banana,2,0.000695652
Barklyreet,2,0.000695652
Barryreet,2,0.000695652
Batmanenue,2,0.000695652
Baulderstone,2,0.000695652
Bay,2,0.000695652
Baylesreet,2,0.000695652
Beatonsne,2,0.000695652
Bellairreet,2,0.000695652
Bendallreet,2,0.000695652
Bennettsne,2,0.000695652
Berkeleyreet,2,0.000695652
Blair,2,0.000695652
Bourke,2,0.000695652
Bowen,2,0.000695652
Bridgesne,2,0.000695652
Buckhurst,2,0.000695652
Buckley,2,0.000695652
Bunclereet,2,0.000695652
Burchettne,2,0.000695652
Byronreet,2,0.000695652
Cade,2,0.000695652
Cakebread,2,0.000695652
Cardiganreet,2,0.000695652
Carlisle,2,0.000695652
Caroline,2,0.000695652
Catalina,2,0.000695652
Cecil,2,0.000695652
Cecilreet,2,0.000695652
Cemetery,2,0.000695652
Centre,2,0.000695652
Chapel,2,0.000695652
Chapmanne,2,0.000695652
Chapmanreet,2,0.000695652
Charles,2,0.000695652
Charlesreet,2,0.000695652
Chelmsfordreet,2,0.000695652
Childersreet,2,0.000695652
Chisholm,2,0.000695652
City,2,0.000695652
Cl0033,2,0.000695652
Cl0112,2,0.000695652
Cl0115,2,0.000695652
Cl0424,2,0.000695652
Cl0463,2,0.000695652
Cl0481,2,0.000695652
Cl0524,2,0.000695652
Cl1014,2,0.000695652
Cl1017,2,0.000695652
Cl1019,2,0.000695652
Cl1043,2,0.000695652
Cl1045,2,0.000695652
Cl1054,2,0.000695652
Cl1077,2,0.000695652
Cl1078,2,0.000695652
Cl1080,2,0.000695652
Cl1090,2,0.000695652
Cl1094,2,0.000695652
Cl1095,2,0.000695652
Cl1098,2,0.000695652
Cl1115,2,0.000695652
Cl1117,2,0.000695652
Cl1124,2,0.000695652
Cl1127,2,0.000695652
Cl1128,2,0.000695652
Cl1148,2,0.000695652
Cl1150,2,0.000695652
Cl1154,2,0.000695652
Cl1171,2,0.000695652
Cl1172,2,0.000695652
Cl1200,2,0.000695652
Cl122,2,0.000695652
Cl1224,2,0.000695652
Cl123,2,0.000695652
Cl1268,2,0.000695652
Cl1282,2,0.000695652
Cl1316,2,0.000695652
Cl1412,2,0.000695652
Cl1418,2,0.000695652
Cl1540,2,0.000695652
Cl156,2,0.000695652
Cl159,2,0.000695652
Cl1593,2,0.000695652
Cl1606,2,0.000695652
Cl1609,2,0.000695652
Cl1620,2,0.000695652
Cl1624,2,0.000695652
Cl1637,2,0.000695652
Cl1649,2,0.000695652
Cl1700,2,0.000695652
Cl1730,2,0.000695652
Cl1740,2,0.000695652
Cl1742,2,0.000695652
Cl1752,2,0.000695652
Cl1754,2,0.000695652
Cl195,2,0.000695652
Cl196,2,0.000695652
Clarendonreet,2,0.000695652
Clubne,2,0.000695652
Cobdenreet,2,0.000695652
Collegeescent,2,0.000695652
Commercial,2,0.000695652
Concourse,2,0.000695652
Cookreet,2,0.000695652
Cornell,2,0.000695652
Coromandel,2,0.000695652
House,2,0.000695652
Courtneyreet,2,0.000695652
Coventry,2,0.000695652
Crown,2,0.000695652
Curranreet,2,0.000695652
Curzon,2,0.000695652
Dalgety,2,0.000695652
Dallas,2,0.000695652
Brooks,2,0.000695652
Degravesreet,2,0.000695652
Denbyne,2,0.000695652
Doddsreet,2,0.000695652
Dorchester,2,0.000695652
Dow,2,0.000695652
Drewery,2,0.000695652
Drucene,2,0.000695652
Drummond,2,0.000695652
Drummondreet,2,0.000695652
